h_index,coset_permutation,cycle_structure,is_identity,is_even
0,0->1->2->3->4,1+1+1+1+1,True,True
1,0->1->2->3->4,1+1+1+1+1,True,True
2,0->4->3->2->1,1+2+2,False,True
3,0->4->3->2->1,1+2+2,False,True
4,0->3->4->1->2,1+2+2,False,True
5,0->3->4->1->2,1+2+2,False,True
6,0->2->1->4->3,1+2+2,False,True
7,0->2->1->4->3,1+2+2,False,True
8,0->4->2->1->3,1+1+3,False,True
9,0->1->4->2->3,1+1+3,False,True
10,0->2->3->1->4,1+1+3,False,True
11,0->2->4->3->1,1+1+3,False,True
12,0->4->1->3->2,1+1+3,False,True
13,0->3->1->2->4,1+1+3,False,True
14,0->1->3->4->2,1+1+3,False,True
15,0->3->2->4->1,1+1+3,False,True
16,0->3->2->4->1,1+1+3,False,True
17,0->1->3->4->2,1+1+3,False,True
18,0->3->1->2->4,1+1+3,False,True
19,0->4->1->3->2,1+1+3,False,True
20,0->2->4->3->1,1+1+3,False,True
21,0->2->3->1->4,1+1+3,False,True
22,0->1->4->2->3,1+1+3,False,True
23,0->4->2->1->3,1+1+3,False,True
24,1->0->4->3->2,1+2+2,False,True
25,2->3->0->1->4,1+2+2,False,True
26,3->1->4->0->2,1+2+2,False,True
27,4->3->2->1->0,1+2+2,False,True
28,4->3->2->1->0,1+2+2,False,True
29,3->1->4->0->2,1+2+2,False,True
30,2->3->0->1->4,1+2+2,False,True
31,1->0->4->3->2,1+2+2,False,True
32,4->1->3->2->0,1+2+2,False,True
33,3->4->2->0->1,1+2+2,False,True
34,2->4->0->3->1,1+2+2,False,True
35,1->0->3->2->4,1+2+2,False,True
36,1->0->3->2->4,1+2+2,False,True
37,2->4->0->3->1,1+2+2,False,True
38,3->4->2->0->1,1+2+2,False,True
39,4->1->3->2->0,1+2+2,False,True
40,3->2->1->0->4,1+2+2,False,True
41,4->2->1->3->0,1+2+2,False,True
42,1->0->2->4->3,1+2+2,False,True
43,2->1->0->4->3,1+2+2,False,True
44,2->1->0->4->3,1+2+2,False,True
45,1->0->2->4->3,1+2+2,False,True
46,4->2->1->3->0,1+2+2,False,True
47,3->2->1->0->4,1+2+2,False,True
48,3->2->0->4->1,5,False,True
49,1->2->3->4->0,5,False,True
50,4->0->1->2->3,5,False,True
51,2->4->1->0->3,5,False,True
52,2->4->1->0->3,5,False,True
53,4->0->1->2->3,5,False,True
54,1->2->3->4->0,5,False,True
55,3->2->0->4->1,5,False,True
56,4->3->0->2->1,5,False,True
57,1->4->3->0->2,5,False,True
58,3->0->4->2->1,5,False,True
59,2->4->3->1->0,5,False,True
60,2->4->3->1->0,5,False,True
61,3->0->4->2->1,5,False,True
62,1->4->3->0->2,5,False,True
63,4->3->0->2->1,5,False,True
64,1->3->0->4->2,5,False,True
65,4->3->1->0->2,5,False,True
66,3->2->4->1->0,5,False,True
67,2->0->4->1->3,5,False,True
68,2->0->4->1->3,5,False,True
69,3->2->4->1->0,5,False,True
70,4->3->1->0->2,5,False,True
71,1->3->0->4->2,5,False,True
72,2->1->3->0->4,1+1+3,False,True
73,4->0->2->3->1,1+1+3,False,True
74,1->4->2->3->0,1+1+3,False,True
75,3->1->0->2->4,1+1+3,False,True
76,3->1->0->2->4,1+1+3,False,True
77,1->4->2->3->0,1+1+3,False,True
78,4->0->2->3->1,1+1+3,False,True
79,2->1->3->0->4,1+1+3,False,True
80,2->0->1->3->4,1+1+3,False,True
81,3->1->2->4->0,1+1+3,False,True
82,4->1->2->0->3,1+1+3,False,True
83,1->2->0->3->4,1+1+3,False,True
84,1->2->0->3->4,1+1+3,False,True
85,4->1->2->0->3,1+1+3,False,True
86,3->1->2->4->0,1+1+3,False,True
87,2->0->1->3->4,1+1+3,False,True
88,2->1->4->3->0,1+1+3,False,True
89,3->0->2->1->4,1+1+3,False,True
90,1->3->2->0->4,1+1+3,False,True
91,4->1->0->3->2,1+1+3,False,True
92,4->1->0->3->2,1+1+3,False,True
93,1->3->2->0->4,1+1+3,False,True
94,3->0->2->1->4,1+1+3,False,True
95,2->1->4->3->0,1+1+3,False,True
96,1->3->4->2->0,5,False,True
97,3->4->0->1->2,5,False,True
98,2->3->4->0->1,5,False,True
99,4->0->3->1->2,5,False,True
100,4->0->3->1->2,5,False,True
101,2->3->4->0->1,5,False,True
102,3->4->0->1->2,5,False,True
103,1->3->4->2->0,5,False,True
104,3->0->1->4->2,5,False,True
105,2->3->1->4->0,5,False,True
106,4->2->0->1->3,5,False,True
107,1->2->4->0->3,5,False,True
108,1->2->4->0->3,5,False,True
109,4->2->0->1->3,5,False,True
110,2->3->1->4->0,5,False,True
111,3->0->1->4->2,5,False,True
112,4->2->3->0->1,5,False,True
113,1->4->0->2->3,5,False,True
114,2->0->3->4->1,5,False,True
115,3->4->1->2->0,5,False,True
116,3->4->1->2->0,5,False,True
117,2->0->3->4->1,5,False,True
118,1->4->0->2->3,5,False,True
119,4->2->3->0->1,5,False,True
