z,H,sigma_H,source
0.050000,70.105727,3.452682,synthetic_lcdm
0.100000,67.144967,3.541398,synthetic_lcdm
0.150000,75.450239,3.636077,synthetic_lcdm
0.200000,78.247024,3.736624,synthetic_lcdm
0.250000,69.360894,3.842929,synthetic_lcdm
0.300000,73.947393,3.954867,synthetic_lcdm
0.350000,81.966667,4.072303,synthetic_lcdm
0.400000,82.575253,4.195096,synthetic_lcdm
0.450000,86.389371,4.323100,synthetic_lcdm
0.500000,85.322053,4.456168,synthetic_lcdm
0.550000,95.923127,4.594152,synthetic_lcdm
0.600000,98.422450,4.736906,synthetic_lcdm
0.650000,98.008262,4.884287,synthetic_lcdm
0.700000,106.400094,5.036157,synthetic_lcdm
0.750000,106.275056,5.192379,synthetic_lcdm
0.800000,102.456827,5.352823,synthetic_lcdm
0.850000,112.381859,5.517366,synthetic_lcdm
0.900000,108.265661,5.685888,synthetic_lcdm
0.950000,122.311695,5.858275,synthetic_lcdm
1.000000,120.387079,6.034418,synthetic_lcdm
1.050000,123.135507,6.214214,synthetic_lcdm
1.100000,123.595030,6.397566,synthetic_lcdm
1.150000,139.737294,6.584381,synthetic_lcdm
1.200000,134.444536,6.774570,synthetic_lcdm
1.250000,136.376417,6.968051,synthetic_lcdm
1.300000,140.771951,7.164745,synthetic_lcdm
1.350000,151.211755,7.364576,synthetic_lcdm
1.400000,154.114976,7.567474,synthetic_lcdm
1.450000,158.675772,7.773372,synthetic_lcdm
1.500000,163.083035,7.982207,synthetic_lcdm
1.550000,181.426819,8.193917,synthetic_lcdm
1.600000,164.751594,8.408446,synthetic_lcdm
1.650000,168.096305,8.625739,synthetic_lcdm
1.700000,169.716470,8.845745,synthetic_lcdm
1.750000,186.954245,9.068414,synthetic_lcdm
1.800000,196.366353,9.293701,synthetic_lcdm
1.850000,189.346251,9.521560,synthetic_lcdm
1.900000,186.845836,9.751950,synthetic_lcdm
1.950000,191.464286,9.984830,synthetic_lcdm
2.000000,211.052373,10.220161,synthetic_lcdm
