candidate,rationale,multiplier,predicted,anchor,target,delta,z_score,abs_z
1 + 1/N_cycles,1/12: extra mode from 12-cycle pentagonal clock,1.0833333333333333,72.97333333333333,67.36,73.04,-0.06666666666667709,-0.05587022673876189,0.05587022673876189
(N_cycles+1)/N_cycles,"13/12 — same number, different rationale (cycles+anchor)",1.0833333333333333,72.97333333333333,67.36,73.04,-0.06666666666667709,-0.05587022673876189,0.05587022673876189
1 + 1/D_L12,1/12: L_12 dimensional inverse — same number as cycles,1.0833333333333333,72.97333333333333,67.36,73.04,-0.06666666666667709,-0.05587022673876189,0.05587022673876189
1 + 1/(N_cycles-1),1/11: cycles minus one σ-fixed anchor,1.0909090909090908,73.48363636363636,67.36,73.04,0.44363636363635806,0.3711654498851492,0.3711654498851492
1 + ln(φ)/(2π),log-period / cycle,1.0765872406325083,72.51891652900576,67.36,73.04,-0.5210834709942418,-0.43734882042989104,0.43734882042989104
|∂|/(|V|·something),100/(120·12) — boundary normalised by cycles,1.0694444444444444,72.03777777777778,67.36,73.04,-1.0022222222222297,-0.842499212419761,0.842499212419761
ratio_random_0.10,[null] arbitrary 10% offset,1.1,74.096,67.36,73.04,1.0559999999999974,0.8817050538090305,0.8817050538090305
1 + ln(φ)/N_rungs,log-period / rungs,1.0687445464370862,71.99063264800212,67.36,73.04,-1.049367351997887,-0.8822669218283374,0.8822669218283374
ratio_random_0.05,[null] arbitrary 5% offset,1.05,70.72800000000001,67.36,73.04,-2.3119999999999976,-1.951844520642276,1.951844520642276
1 + 1/N_frames,1/8: frame-ladder inverse,1.125,75.78,67.36,73.04,2.739999999999995,2.274931404939528,2.274931404939528
φ^(1/N_cycles),φ^(1/12): φ-cascade root,1.0409158862145624,70.11609409541292,67.36,73.04,-2.9239059045870874,-2.473316336422042,2.473316336422042
1 + 1/(D_L12·N_rungs)·N_cycles,12/(12·7): cycle count over cascade·dim,1.1428571428571428,76.98285714285714,67.36,73.04,3.942857142857136,3.260380267020468,3.260380267020468
1 + 1/N_rungs,1/7: cascade-fan rung inverse,1.1428571428571428,76.98285714285714,67.36,73.04,3.942857142857136,3.260380267020468,3.260380267020468
|B|/|V|,20/120 = 1/6: bulk vertex fraction,1.1666666666666667,78.58666666666667,67.36,73.04,5.546666666666667,4.561644144611723,4.561644144611723
1 + K_bulk/K_total,72/432 = 1/6: bulk K-weight share,1.1666666666666667,78.58666666666667,67.36,73.04,5.546666666666667,4.561644144611723,4.561644144611723
1.0,[null] no correction — pure ΛCDM,1.0,67.36,67.36,73.04,-5.680000000000007,-4.847093957917199,4.847093957917199
1 + 1/(2φ²),1/(2φ²) ≈ 0.191,1.1909830056250525,80.22461525890354,67.36,73.04,7.184615258903534,5.875588418865873,5.875588418865873
|B|/|∂|,20/100 = 1/5,1.2,80.832,67.36,73.04,7.791999999999987,6.35895420159629,6.35895420159629
1 + 1/π,[null] π is not in substrate algebra,1.3183098861837907,88.80135393334014,67.36,73.04,15.761353933340132,12.505925199464752,12.505925199464752
1 + (K_bdry-K_bulk)/(N_V600·something),K-weight contrast / 120·7,1.342857142857143,90.45485714285715,67.36,73.04,17.414857142857144,13.735788316596281,13.735788316596281
1 + 1/e,[null] e is not in substrate algebra,1.3678794411714423,92.14035915730835,67.36,73.04,19.100359157308347,14.973371163589569,14.973371163589569
