state_id,shells,winding,symmetry,freq_law,amp_law,phase_law,amplitudes,phases,frequencies,n_shells
S00000,1,1,charged_lepton,linear,uniform,exact_closure,1.00000000,0.00000000,1.00000000,1
S00001,1,1,charged_lepton,linear,uniform,torsional_offset,1.00000000,0.00000000,1.00000000,1
S00002,1,1,charged_lepton,linear,uniform,winding_parity,1.00000000,0.52359878,1.00000000,1
S00003,1,1,charged_lepton,linear,phi_decaying,exact_closure,1.00000000,0.00000000,1.00000000,1
S00004,1,1,charged_lepton,linear,phi_decaying,torsional_offset,1.00000000,0.00000000,1.00000000,1
S00005,1,1,charged_lepton,linear,phi_decaying,winding_parity,1.00000000,0.52359878,1.00000000,1
S00006,1,1,charged_lepton,linear,closure_weight,exact_closure,1.00000000,0.00000000,1.00000000,1
S00007,1,1,charged_lepton,linear,closure_weight,torsional_offset,1.00000000,0.00000000,1.00000000,1
S00008,1,1,charged_lepton,linear,closure_weight,winding_parity,1.00000000,0.52359878,1.00000000,1
S00009,1,1,charged_lepton,phi_scaled,uniform,exact_closure,1.00000000,0.00000000,1.61803399,1
S00010,1,1,charged_lepton,phi_scaled,uniform,torsional_offset,1.00000000,0.00000000,1.61803399,1
S00011,1,1,charged_lepton,phi_scaled,uniform,winding_parity,1.00000000,0.52359878,1.61803399,1
S00012,1,1,charged_lepton,phi_scaled,phi_decaying,exact_closure,1.00000000,0.00000000,1.61803399,1
S00013,1,1,charged_lepton,phi_scaled,phi_decaying,torsional_offset,1.00000000,0.00000000,1.61803399,1
S00014,1,1,charged_lepton,phi_scaled,phi_decaying,winding_parity,1.00000000,0.52359878,1.61803399,1
S00015,1,1,charged_lepton,phi_scaled,closure_weight,exact_closure,1.00000000,0.00000000,1.61803399,1
S00016,1,1,charged_lepton,phi_scaled,closure_weight,torsional_offset,1.00000000,0.00000000,1.61803399,1
S00017,1,1,charged_lepton,phi_scaled,closure_weight,winding_parity,1.00000000,0.52359878,1.61803399,1
S00018,1,1,charged_lepton,closure_corrected,uniform,exact_closure,1.00000000,0.00000000,1.77983739,1
S00019,1,1,charged_lepton,closure_corrected,uniform,torsional_offset,1.00000000,0.00000000,1.77983739,1
