id,name,formula,interpretation,dimensionless,phi_role,structural_origin,value_electron,value_proton,predicted_ratio,observed_ratio,error_pct,verdict
I06,Sum of phi^(n^2),I(A) = sum(phi^(n^2) for n in shells),Quadratic shell scaling in the phi exponent.,True,natural (quadratic depth),closure energy scaling,1.618033988749895,2289.8668044798937,1415.2155148786842,1836.15267343,22.92495415236849,MODERATE
I09,Mode-weighted phi product,I(A) = prod(n * phi^n for n in shells),Each shell contributes its index times phi^n. Combines mode count with geometry.,True,natural (mode × geometry),harmonic mode multiplicity,1.618033988749895,1824.3157348199147,1127.4891303299473,1836.15267343,38.59502280800231,RIGHT_RANGE
I11,Vandermonde-phi invariant,I(A) = prod(|n_i - n_j| for i<j) * phi^(sum shells) for multi-shell; 1 for single,Vandermonde-type discriminant times total phi depth. Measures inter-shell coupling.,True,natural (inter-shell + depth),inter-shell coupling × total depth,1.618033988749895,152.0263112349929,93.95742752749561,1836.15267343,94.88291856733353,WRONG_RANGE
I08,Triangular phi sum,I(A) = sum(phi^(n(n+1)/2) for n in shells),Triangular-number scaling in phi exponent. Natural from nested closure.,True,natural (triangular nesting),nested closure hierarchy,1.618033988749895,145.17220926874322,89.72135954999582,1836.15267343,95.11362203980603,WRONG_RANGE
I12,Lucas number product,I(A) = prod(L_n for n in shells) where L_n is the n-th Lucas number,Lucas numbers arise naturally from phi: L_n = phi^n + (-phi)^{-n}. Integer-valued.,True,natural (Lucas = integer phi-invariant),phi-manifold integer invariant,1,84,84.0,1836.15267343,95.42521701950389,WRONG_RANGE
I02,Phi-weighted shell product,I(A) = prod(phi^n for n in shells),Product of phi^n over occupied shells. Phi enters through shell geometry.,True,natural (shell geometry),phi-structured manifold,1.618033988749895,76.01315561749644,46.9787137637478,1836.15267343,97.44145928366676,WRONG_RANGE
I03,Phi to shell-sum,I(A) = phi^(sum of shells),Phi raised to the total shell index. Measures total geometric depth.,True,natural (total depth),total closure depth,1.618033988749895,76.01315561749645,46.978713763747805,1836.15267343,97.44145928366676,WRONG_RANGE
I07,Closure cycle product,I(A) = prod(phi^n + phi^{-n} for n in shells),Each shell contributes a symmetric closure cycle term. This is 2*cosh(n*ln(phi)).,True,natural (symmetric closure),closure cycle symmetry,2.23606797749979,93.91485505499118,42.0,1836.15267343,97.71260850975195,WRONG_RANGE
I01,Shell product,I(A) = prod(shells),Product of occupied shell indices. Measures composite complexity.,True,none,combinatorial shell structure,1.0,24.0,24.0,1836.15267343,98.69291914842968,WRONG_RANGE
I13,Fibonacci product,I(A) = prod(F_n for n in shells) where F_n is the n-th Fibonacci number,Fibonacci numbers are the integer sequence most closely tied to phi.,True,natural (Fibonacci = phi-sequence),phi-manifold combinatorics,1,6,6.0,1836.15267343,99.67322978710742,WRONG_RANGE
I04,Shell-factorial × phi^shells,I(A) = prod(n! * phi^n for n in shells),Closure complexity: each shell contributes n! permutations weighted by phi^n.,True,natural (weighted permutations),closure path multiplicity × geometry,1.618033988749895,21891.788817838973,13529.869563959366,1836.15267343,636.8597263039721,WRONG_RANGE
I05,Phi to shell-product,I(A) = phi^(prod(shells)),Phi raised to the product of shell indices. Exponential coupling of shell structure.,True,natural (exponential coupling),shell interaction depth,1.618033988749895,103681.99999035521,64079.00001560579,1836.15267343,3389.8514128405177,WRONG_RANGE
I15,Phi^(sum × count),I(A) = phi^(shell_sum * n_shells),Total depth times mode count in phi exponent. Self-referential complexity.,True,natural (depth × multiplicity),composite closure complexity,1.618033988749895,439204.00000227726,271442.9999963162,1836.15267343,14683.247816166117,WRONG_RANGE
I10,Phi to sum-of-squares,I(A) = phi^(sum(n^2 for n in shells)),Phi raised to the sum of squared shell indices. Quadratic complexity measure.,True,natural (quadratic complexity),total quadratic closure cost,1.618033988749895,1149851.0000008708,710646.9999985935,1836.15267343,38603.04524683554,WRONG_RANGE
I14,Product of phi^(n^2),I(A) = prod(phi^(n^2) for n in shells),"Quadratic phi power per shell, multiplicative. Steeper than I03.",True,natural (quadratic per-shell),quadratic closure depth,1.618033988749895,1149851.000000871,710646.9999985936,1836.15267343,38603.04524683555,WRONG_RANGE
