freq_law,amp_law,phase_law,energy_law,E_electron,E_proton,E_neutron,predicted_mp_me,observed_mp_me,pct_error_mp_me,predicted_mn_mp,observed_mn_mp,pct_error_mn_mp,hierarchy_correct,e_shells,p_shells,n_shells
linear,uniform,exact_closure,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,torsional_offset,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
linear,uniform,winding_parity,optimal_k,1.575793042493e+01,2.876349129916e+04,2.876349129916e+04,1825.334325,1836.152673,0.5892,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,exact_closure,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,torsional_offset,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,phi_decaying,winding_parity,optimal_k,2.804655375931e+01,4.941823254116e+04,4.941823254116e+04,1762.007303,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,exact_closure,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,torsional_offset,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
phi_scaled,phi_decaying,winding_parity,optimal_k,2.549686703959e+01,4.492566598205e+04,4.492566598205e+04,1762.007305,1836.152673,4.0381,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
closure_corrected,uniform,exact_closure,optimal_k,2.804655375931e+01,5.375854607410e+04,5.375854607410e+04,1916.761201,1836.152673,4.3901,1.00000000,1.00137842,0.1377,False,1,"2,3,4","2,3,4"
