# VFD-canonical τ_σ : V_600 → V_600
# Construction: τ_σ defined by σ-projection within each Dic_5-coset,
# constrained to K-opposite cycles, with symmetric (involution) phases.
# Phases per coset: (0, 0, 0, 0, 0)
# Properties: involution, fixes Dic_5 (20 verts), 5 cross-K cycle swaps,
#             antipodal-compat, τ-equivariant, σ-projection consistent.
# vertex_index, tau_sigma_image_index
0,0
1,1
2,2
3,3
4,6
5,7
6,4
7,5
8,13
9,15
10,12
11,14
12,10
13,8
14,11
15,9
16,22
17,20
18,23
19,21
20,17
21,19
22,16
23,18
24,94
25,25
26,26
27,95
28,88
29,29
30,30
31,89
32,66
33,108
34,109
35,67
36,68
37,106
38,107
39,69
40,82
41,41
42,42
43,83
44,84
45,45
46,46
47,85
48,48
49,115
50,114
51,51
52,52
53,117
54,116
55,55
56,97
57,98
58,80
59,81
60,86
61,87
62,101
63,102
64,76
65,79
66,32
67,35
68,36
69,39
70,72
71,75
72,70
73,104
74,105
75,71
76,64
77,110
78,111
79,65
80,58
81,59
82,40
83,43
84,44
85,47
86,60
87,61
88,28
89,31
90,112
91,113
92,118
93,119
94,24
95,27
96,96
97,56
98,57
99,99
100,100
101,62
102,63
103,103
104,73
105,74
106,37
107,38
108,33
109,34
110,77
111,78
112,90
113,91
114,50
115,49
116,54
117,53
118,92
119,93
