iter,q0,q1,q2,q3
0,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,0.5257311121,0.8506508084,0.0000000000,0.0000000000
2,-0.4472135955,0.8944271910,0.0000000000,0.0000000000
3,-0.9959593140,0.0898055953,0.0000000000,0.0000000000
4,-0.6000000000,-0.8000000000,0.0000000000,0.0000000000
5,0.3650819794,-0.9309753747,0.0000000000,0.0000000000
6,0.9838699101,-0.1788854382,0.0000000000,0.0000000000
7,0.6694200646,0.7428840940,0.0000000000,0.0000000000
8,-0.2800000000,0.9600000000,0.0000000000,0.0000000000
9,-0.9638294874,0.2665196413,0.0000000000,0.0000000000
10,-0.7334302966,-0.6797646652,0.0000000000,0.0000000000
11,0.1926552364,-0.9812665081,0.0000000000,0.0000000000
12,0.9360000000,-0.3520000000,0.0000000000,0.0000000000
13,0.7915134055,0.6111518052,0.0000000000,0.0000000000
14,-0.1037535542,0.9946030364,0.0000000000,0.0000000000
15,-0.9006063483,0.4346357157,0.0000000000,0.0000000000
16,-0.8432000000,-0.5376000000,0.0000000000,0.0000000000
17,0.0140134008,-0.9999018075,0.0000000000,0.0000000000
18,0.8579345616,-0.5137589785,0.0000000000,0.0000000000
19,0.8880723816,0.4597036492,0.0000000000,0.0000000000
20,0.0758400000,0.9971200000,0.0000000000,0.0000000000
21,-0.8083294865,0.5887303638,0.0000000000,0.0000000000
22,-0.9257679198,-0.3780922622,0.0000000000,0.0000000000
23,-0.1650805096,-0.9862800948,0.0000000000,0.0000000000
24,0.7521920000,-0.6589440000,0.0000000000,0.0000000000
25,0.9559819829,0.2934253709,0.0000000000,0.0000000000
26,0.2529869421,0.9674696931,0.0000000000,0.0000000000
27,-0.6899757701,0.7238324645,0.0000000000,0.0000000000
28,-0.9784704000,-0.2063872000,0.0000000000,0.0000000000
29,-0.3388488931,-0.9408408089,0.0000000000,0.0000000000
30,0.6221835892,-0.7828713696,0.0000000000,0.0000000000
31,0.9930514337,0.1176811373,0.0000000000,0.0000000000
32,0.4219724800,0.9066086400,0.0000000000,0.0000000000
33,-0.5493633113,0.8355835998,0.0000000000,0.0000000000
34,-0.9996072492,-0.0280240496,0.0000000000,0.0000000000
35,-0.5016859503,-0.8650498293,0.0000000000,0.0000000000
36,0.4721034240,-0.8815431680,0.0000000000,0.0000000000
37,0.9980848666,-0.0618595108,0.0000000000,0.0000000000
38,0.5773451098,0.8165002291,0.0000000000,0.0000000000
39,-0.3910282933,0.9203786579,0.0000000000,0.0000000000
40,-0.9884965888,0.1512431616,0.0000000000,0.0000000000
41,-0.6483385286,-0.7613521868,0.0000000000,0.0000000000
42,0.3067931174,-0.9517762253,0.0000000000,0.0000000000
43,0.9709199023,-0.2394045601,0.0000000000,0.0000000000
44,0.7140924826,0.7000513741,0.0000000000,0.0000000000
45,-0.2200786322,0.9754821350,0.0000000000,0.0000000000
46,-0.9454968507,0.3256312413,0.0000000000,0.0000000000
47,-0.7740755894,-0.6330931858,0.0000000000,0.0000000000
48,0.1315856097,-0.9913048105,0.0000000000,0.0000000000
49,0.9124328873,-0.4092263752,0.0000000000,0.0000000000
50,0.8278031034,0.5610187358,0.0000000000,0.0000000000
51,-0.0420291949,0.9991163830,0.0000000000,0.0000000000
52,-0.8719952142,0.4895143985,0.0000000000,0.0000000000
53,-0.8748408325,-0.4844104847,0.0000000000,0.0000000000
54,-0.0478668734,-0.9988537242,0.0000000000,0.0000000000
55,0.8245106234,-0.5658464738,0.0000000000,0.0000000000
56,0.9148086474,0.4038875323,0.0000000000,0.0000000000
57,0.1373761117,0.9905189569,0.0000000000,0.0000000000
58,-0.7703628554,0.6376057333,0.0000000000,0.0000000000
59,-0.9473835531,-0.3201006144,0.0000000000,0.0000000000
60,-0.2257751626,-0.9741794372,0.0000000000,0.0000000000
61,0.7099894985,-0.7042122635,0.0000000000,0.0000000000
62,0.9723022998,0.2337268443,0.0000000000,0.0000000000
63,0.3123496403,0.9499672111,0.0000000000,0.0000000000
64,-0.6438784522,0.7651277924,0.0000000000,0.0000000000
65,-0.9893635099,-0.1454642407,0.0000000000,0.0000000000
66,-0.3963999044,-0.9180779465,0.0000000000,0.0000000000
67,0.5725639847,-0.8198600389,0.0000000000,0.0000000000
68,0.9984293053,0.0560260863,0.0000000000,0.0000000000
69,0.4772467134,0.8787693523,0.0000000000,0.0000000000
70,-0.4966224145,0.8679666914,0.0000000000,0.0000000000
71,-0.9994264220,0.0338648356,0.0000000000,0.0000000000
72,-0.5542367141,-0.8323590960,0.0000000000,0.0000000000
73,0.4166674538,-0.9090589821,0.0000000000,0.0000000000
74,0.9923468018,-0.1234820833,0.0000000000,0.0000000000
75,0.6267477217,0.7792222362,0.0000000000,0.0000000000
76,-0.3333452484,0.9428048289,0.0000000000,0.0000000000
77,-0.9772476580,0.2121014262,0.0000000000,0.0000000000
78,-0.6941937477,-0.7197881915,0.0000000000,0.0000000000
79,0.2473291559,-0.9689315191,0.0000000000,0.0000000000
80,0.9542510121,-0.2990066986,0.0000000000,0.0000000000
81,0.7560297358,0.6545372706,0.0000000000,0.0000000000
82,-0.1593143046,0.9872279131,0.0000000000,0.0000000000
83,-0.9235427088,0.3834955867,0.0000000000,0.0000000000
84,-0.8117559662,-0.5839967905,0.0000000000,0.0000000000
85,0.0700119751,-0.9975461510,0.0000000000,0.0000000000
86,0.8853709132,-0.4648853042,0.0000000000,0.0000000000
87,0.8609220946,0.5087368150,0.0000000000,0.0000000000
88,0.0198561473,0.9998028473,0.0000000000,0.0000000000
89,-0.8400441058,0.5425181105,0.0000000000,0.0000000000
90,-0.9031307913,-0.4293655481,0.0000000000,0.0000000000
91,-0.1095638047,-0.9939797647,0.0000000000,0.0000000000
92,0.7879285894,-0.6157666262,0.0000000000,0.0000000000
93,0.9380409519,0.3465244183,0.0000000000,0.0000000000
94,0.1983860363,0.9801239619,0.0000000000,0.0000000000
95,-0.7294455289,0.6840389026,0.0000000000,0.0000000000
96,-0.9653704546,-0.2608828958,0.0000000000,0.0000000000
97,-0.2856050365,-0.9583474125,0.0000000000,0.0000000000
98,0.6650675477,-0.7467832062,0.0000000000,0.0000000000
99,0.9848984395,0.1731330816,0.0000000000,0.0000000000
100,0.3705159561,0.9288261012,0.0000000000,0.0000000000
101,-0.5953149081,0.8034924767,0.0000000000,0.0000000000
102,-0.9964670935,-0.0839841145,0.0000000000,0.0000000000
103,-0.4524325984,-0.8917986005,0.0000000000,0.0000000000
104,0.5207513073,-0.8537084256,0.0000000000,0.0000000000
105,0.9999829263,-0.0058435595,0.0000000000,0.0000000000
106,0.5306929646,0.8475641435,0.0000000000,0.0000000000
107,-0.4419793214,0.8970252390,0.0000000000,0.0000000000
108,-0.9954175249,0.0956240095,0.0000000000,0.0000000000
109,-0.6046646034,-0.7964802053,0.0000000000,0.0000000000
110,0.3596355361,-0.9330928578,0.0000000000,0.0000000000
111,0.9828077841,-0.1846316863,0.0000000000,0.0000000000
