gamma,Re L,Im L,|L|
0.0000,7803.663133,0.000000,7803.663133
0.0200,7792.590085,-411.061096,7803.424341
0.0400,7759.404383,-820.912316,7802.708081
0.0600,7704.206250,-1228.347514,7801.514697
0.0800,7627.162378,-1632.167984,7799.844759
0.1000,7528.505401,-2031.186156,7797.699069
0.1200,7408.533173,-2424.229248,7795.078654
0.1400,7267.607831,-2810.142882,7791.984767
0.1600,7106.154666,-3187.794628,7788.418886
0.1800,6924.660791,-3556.077493,7784.382712
0.2001,6723.673614,-3913.913314,7779.878167
0.2201,6503.799134,-4260.256074,7774.907394
0.2401,6265.700039,-4594.095108,7769.472752
0.2601,6010.093638,-4914.458199,7763.576813
0.2801,5737.749620,-5220.414549,7757.222362
0.3001,5449.487651,-5511.077626,7750.412393
0.3201,5146.174809,-5785.607867,7743.150106
0.3401,4828.722886,-6043.215228,7735.438901
0.3601,4498.085536,-6283.161584,7727.282380
0.3801,4155.255307,-6504.762966,7718.684338
0.4001,3801.260544,-6707.391615,7709.648760
0.4201,3437.162184,-6890.477876,7700.179819
0.4401,3064.050458,-7053.511893,7690.281870
0.4601,2683.041498,-7196.045123,7679.959446
0.4801,2295.273860,-7317.691656,7669.217252
0.5001,1901.904998,-7418.129336,7658.060164
0.5201,1504.107659,-7497.100684,7646.493217
0.5401,1103.066255,-7554.413612,7634.521608
0.5601,699.973187,-7589.941935,7622.150683
0.5801,296.025153,-7603.625680,7609.385939
0.6002,-107.580549,-7595.471176,7596.233011
0.6202,-509.649723,-7565.550948,7582.697672
0.6402,-908.994959,-7514.003395,7568.785825
0.6602,-1304.439290,-7441.032267,7554.503496
0.6802,-1694.819818,-7346.905933,7539.856829
0.7002,-2078.991280,-7231.956452,7524.852083
0.7202,-2455.829567,-7096.578442,7509.495618
0.7402,-2824.235162,-6941.227755,7493.793899
0.7602,-3183.136499,-6766.419963,7477.753479
0.7802,-3531.493229,-6572.728659,7461.381002
0.8002,-3868.299388,-6360.783573,7444.683191
0.8202,-4192.586441,-6131.268520,7427.666843
0.8402,-4503.426215,-5884.919184,7410.338824
0.8602,-4799.933697,-5622.520732,7392.706059
0.8802,-5081.269685,-5344.905287,7374.775532
0.9002,-5346.643301,-5052.949253,7356.554271
0.9202,-5595.314341,-4747.570504,7338.049350
0.9402,-5826.595461,-4429.725452,7319.267877
0.9602,-6039.854202,-4100.405993,7300.216989
0.9802,-6234.514821,-3760.636353,7280.903847
1.0003,-6410.059960,-3411.469838,7261.335631
1.0203,-6566.032115,-3053.985488,7241.519530
1.0403,-6702.034916,-2689.284674,7221.462737
1.0603,-6817.734213,-2318.487615,7201.172447
1.0803,-6912.858967,-1942.729855,7180.655847
1.1003,-6987.201936,-1563.158689,7159.920110
1.1203,-7040.620157,-1180.929569,7138.972394
1.1403,-7073.035228,-797.202483,7117.819830
1.1603,-7084.433387,-413.138334,7096.469523
1.1803,-7074.865381,-29.895322,7074.928543
1.2003,-7044.446138,351.374661,7053.203921
1.2203,-6993.354232,729.529599,7031.302643
1.2403,-6921.831151,1103.440890,7009.231647
1.2603,-6830.180368,1471.996827,6986.997819
1.2803,-6718.766217,1834.106024,6964.607985
1.3003,-6588.012581,2188.700757,6942.068911
1.3203,-6438.401391,2534.740239,6919.387296
1.3403,-6270.470955,2871.213786,6896.569771
1.3603,-6084.814096,3197.143891,6873.622891
1.3803,-5882.076141,3511.589177,6850.553137
1.4004,-5662.952734,3813.647234,6827.366908
1.4204,-5428.187505,4102.457322,6804.070522
1.4404,-5178.569588,4377.202934,6780.670211
1.4604,-4914.931003,4637.114216,6757.172116
1.4804,-4638.143907,4881.470227,6733.582292
1.5004,-4349.117734,5109.601042,6709.906696
1.5204,-4048.796209,5320.889687,6686.151195
1.5404,-3738.154277,5514.773896,6662.321556
1.5604,-3418.194933,5690.747692,6638.423449
1.5804,-3089.945976,5848.362790,6614.462446
1.6004,-2754.456686,5987.229802,6590.444017
1.6204,-2412.794458,6107.019259,6566.373529
1.6404,-2066.041370,6207.462437,6542.256251
1.6604,-1715.290727,6288.351988,6518.097345
1.6804,-1361.643577,6349.542370,6493.901873
1.7004,-1006.205210,6390.950085,6469.674792
1.7204,-650.081659,6412.553715,6445.420957
1.7404,-294.376205,6414.393758,6421.145118
1.7604,59.814094,6396.572273,6396.851926
1.7804,411.401849,6359.252323,6372.545927
1.8005,759.312735,6302.657232,6348.231566
1.8205,1102.488841,6227.069644,6323.913187
1.8405,1439.891954,6132.830406,6299.595037
1.8605,1770.506770,6020.337256,6275.281260
1.8805,2093.344018,5890.043346,6250.975908
1.9005,2407.443495,5742.455586,6226.682932
1.9205,2711.876991,5578.132819,6202.406191
1.9405,3005.751111,5397.683844,6178.149450
1.9605,3288.209969,5201.765282,6153.916383
1.9805,3558.437750,4991.079293,6129.710574
2.0005,3815.661145,4766.371157,6105.535519
2.0205,4059.151629,4528.426731,6081.394626
2.0405,4288.227597,4278.069776,6057.291220
2.0605,4502.256336,4016.159178,6033.228543
2.0805,4700.655834,3743.586064,6009.209756
2.1005,4882.896423,3461.270823,5985.237939
2.1205,5048.502241,3170.160048,5961.316097
2.1405,5197.052523,2871.223406,5937.447160
2.1605,5328.182704,2565.450435,5913.633981
2.1805,5441.585343,2253.847302,5889.879346
2.2006,5537.010851,1937.433513,5866.185966
2.2206,5614.268041,1617.238594,5842.556487
2.2406,5673.224477,1294.298749,5818.993488
2.2606,5713.806638,969.653517,5795.499481
2.2806,5735.999893,644.342420,5772.076916
2.3006,5739.848281,319.401638,5748.728181
2.3206,5725.454105,-4.139308,5725.455601
2.3406,5692.977338,-325.260825,5702.261444
2.3606,5642.634850,-642.956477,5679.147919
2.3806,5574.699445,-956.236164,5656.117175
2.4006,5489.498728,-1264.129226,5633.171308
2.4206,5387.413802,-1565.687477,5610.312357
2.4406,5268.877782,-1859.988154,5587.542306
2.4606,5134.374168,-2146.136773,5564.863084
2.4806,4984.435040,-2423.269874,5542.276567
2.5006,4819.639120,-2690.557664,5519.784578
2.5206,4640.609680,-2947.206534,5497.388885
2.5406,4448.012318,-3192.461451,5475.091204
2.5606,4242.552607,-3425.608211,5452.893199
2.5806,4024.973618,-3645.975555,5430.796477
2.6007,3796.053340,-3852.937133,5408.802595
2.6207,3556.601992,-4045.913312,5386.913054
2.6407,3307.459239,-4224.372830,5365.129302
2.6607,3049.491332,-4387.834283,5343.452730
2.6807,2783.588166,-4535.867439,5321.884675
2.7007,2510.660276,-4668.094384,5300.426417
2.7207,2231.635782,-4784.190495,5279.079177
2.7407,1947.457285,-4883.885227,5257.844120
2.7607,1659.078730,-4966.962728,5236.722350
2.7807,1367.462250,-5033.262264,5215.714910
2.8007,1073.574989,-5082.678475,5194.822783
