index,eigenvalue,sigma_class
0,0.3819660113,fixed_proj
1,2.6737620788,fixed_proj
2,2.6737620788,fixed_proj
3,2.6737620788,fixed_proj
4,2.6737620788,fixed_proj
5,5.9098300563,fixed_proj
6,5.9098300563,fixed_proj
7,5.9098300563,fixed_proj
8,5.9098300563,fixed_proj
9,5.9098300563,fixed_proj
10,5.9098300563,fixed_proj
11,5.9098300563,fixed_proj
12,5.9098300563,fixed_proj
13,5.9098300563,fixed_proj
14,9.3819660113,fixed_proj
15,9.3819660113,fixed_proj
16,9.3819660113,fixed_proj
17,9.3819660113,fixed_proj
18,9.3819660113,fixed_proj
19,9.3819660113,fixed_proj
20,9.3819660113,fixed_proj
21,9.3819660113,fixed_proj
22,9.3819660113,fixed_proj
23,9.3819660113,fixed_proj
24,9.3819660113,fixed_proj
25,9.3819660113,fixed_proj
26,9.3819660113,fixed_proj
27,9.3819660113,fixed_proj
28,9.3819660113,fixed_proj
29,9.3819660113,fixed_proj
30,12.3819660113,fixed_proj
31,12.3819660113,fixed_proj
32,12.3819660113,fixed_proj
33,12.3819660113,fixed_proj
34,12.3819660113,fixed_proj
35,12.3819660113,fixed_proj
36,12.3819660113,fixed_proj
37,12.3819660113,fixed_proj
38,12.3819660113,fixed_proj
39,12.3819660113,fixed_proj
40,12.3819660113,fixed_proj
41,12.3819660113,fixed_proj
42,12.3819660113,fixed_proj
43,12.3819660113,fixed_proj
44,12.3819660113,fixed_proj
45,12.3819660113,fixed_proj
46,12.3819660113,fixed_proj
47,12.3819660113,fixed_proj
48,12.3819660113,fixed_proj
49,12.3819660113,fixed_proj
50,12.3819660113,fixed_proj
51,12.3819660113,fixed_proj
52,12.3819660113,fixed_proj
53,12.3819660113,fixed_proj
54,12.3819660113,fixed_proj
55,14.3819660113,fixed_proj
56,14.3819660113,fixed_proj
57,14.3819660113,fixed_proj
58,14.3819660113,fixed_proj
59,14.3819660113,fixed_proj
60,14.3819660113,fixed_proj
61,14.3819660113,fixed_proj
62,14.3819660113,fixed_proj
63,14.3819660113,fixed_proj
64,14.3819660113,fixed_proj
65,14.3819660113,fixed_proj
66,14.3819660113,fixed_proj
67,14.3819660113,fixed_proj
68,14.3819660113,fixed_proj
69,14.3819660113,fixed_proj
70,14.3819660113,fixed_proj
71,14.3819660113,fixed_proj
72,14.3819660113,fixed_proj
73,14.3819660113,fixed_proj
74,14.3819660113,fixed_proj
75,14.3819660113,fixed_proj
76,14.3819660113,fixed_proj
77,14.3819660113,fixed_proj
78,14.3819660113,fixed_proj
79,14.3819660113,fixed_proj
80,14.3819660113,fixed_proj
81,14.3819660113,fixed_proj
82,14.3819660113,fixed_proj
83,14.3819660113,fixed_proj
84,14.3819660113,fixed_proj
85,14.3819660113,fixed_proj
86,14.3819660113,fixed_proj
87,14.3819660113,fixed_proj
88,14.3819660113,fixed_proj
89,14.3819660113,fixed_proj
90,14.3819660113,fixed_proj
91,14.8541019662,fixed_proj
92,14.8541019662,fixed_proj
93,14.8541019662,fixed_proj
94,14.8541019662,fixed_proj
95,14.8541019662,fixed_proj
96,14.8541019662,fixed_proj
97,14.8541019662,fixed_proj
98,14.8541019662,fixed_proj
99,14.8541019662,fixed_proj
100,15.3819660113,fixed_proj
101,15.3819660113,fixed_proj
102,15.3819660113,fixed_proj
103,15.3819660113,fixed_proj
104,15.3819660113,fixed_proj
105,15.3819660113,fixed_proj
106,15.3819660113,fixed_proj
107,15.3819660113,fixed_proj
108,15.3819660113,fixed_proj
109,15.3819660113,fixed_proj
110,15.3819660113,fixed_proj
111,15.3819660113,fixed_proj
112,15.3819660113,fixed_proj
113,15.3819660113,fixed_proj
114,15.3819660113,fixed_proj
115,15.3819660113,fixed_proj
116,16.0901699437,fixed_proj
117,16.0901699437,fixed_proj
118,16.0901699437,fixed_proj
119,16.0901699437,fixed_proj
