zero_index,gamma,Re L_sub,Im L_sub,|L_sub|
1,14.13472514,1.74819729e-13,2.90155435e-13,3.38750814e-13
2,21.02203964,4.38523287e-13,-1.54575344e-13,4.64969042e-13
3,25.01085758,5.36454253e-14,-8.18381886e-14,9.78535680e-14
4,30.42487613,1.01963976e-12,-3.48809006e-13,1.07765160e-12
5,32.93506159,1.73099128e-14,-2.84678041e-13,2.85203822e-13
6,37.58617816,-1.54410683e-12,1.02447437e-13,1.54750166e-12
7,40.91871901,-1.34162231e-11,-6.73886090e-12,1.50135702e-11
8,43.32707328,2.69425728e-12,1.24388778e-12,2.96753755e-12
9,48.00515088,-1.68084573e-12,-3.21320824e-13,1.71128298e-12
10,49.77383248,-1.01774864e-11,1.82561892e-11,2.09014275e-11
