block,eigenvalue,multiplicity
sigma-fixed,0.381966,1
sigma-fixed,2.673762,4
sigma-fixed,5.90983,9
sigma-fixed,9.381966,16
sigma-fixed,12.381966,25
sigma-fixed,14.381966,36
sigma-fixed,14.854102,9
sigma-fixed,15.381966,16
sigma-fixed,16.09017,4
sigma-paired,3.381966,1
sigma-paired,5.090463,4
sigma-paired,7.465584,9
sigma-paired,9.381966,8
sigma-paired,11.381966,8
sigma-paired,12.381966,14
sigma-paired,13.578524,9
sigma-paired,14.381966,24
sigma-paired,15.10179,9
sigma-paired,15.381966,6
sigma-paired,15.673469,4
