dynamics,step,P_plus_norm_sq,P_minus_norm_sq,ratio
A. Pure A_1 iteration (control),0.0,8.087862e-01,1.912138e-01,2.364207e-01
A. Pure A_1 iteration (control),1.0,4.166800e-01,5.833200e-01,1.399923e+00
A. Pure A_1 iteration (control),2.0,2.860776e-01,7.139224e-01,2.495555e+00
A. Pure A_1 iteration (control),3.0,3.860725e-01,6.139275e-01,1.590187e+00
A. Pure A_1 iteration (control),4.0,5.104132e-01,4.895868e-01,9.591969e-01
A. Pure A_1 iteration (control),5.0,6.242435e-01,3.757565e-01,6.019389e-01
A. Pure A_1 iteration (control),6.0,7.212931e-01,2.787069e-01,3.863990e-01
A. Pure A_1 iteration (control),7.0,7.995536e-01,2.004464e-01,2.506979e-01
A. Pure A_1 iteration (control),8.0,8.595178e-01,1.404822e-01,1.634431e-01
A. Pure A_1 iteration (control),9.0,9.035150e-01,9.648501e-02,1.067885e-01
A. Pure A_1 iteration (control),10.0,9.347194e-01,6.528058e-02,6.983977e-02
A. Pure A_1 iteration (control),11.0,9.563018e-01,4.369816e-02,4.569495e-02
A. Pure A_1 iteration (control),12.0,9.709651e-01,2.903491e-02,2.990314e-02
A. Pure A_1 iteration (control),13.0,9.808051e-01,1.919487e-02,1.957053e-02
A. Pure A_1 iteration (control),14.0,9.873533e-01,1.264670e-02,1.280869e-02
A. Pure A_1 iteration (control),15.0,9.916864e-01,8.313587e-03,8.383283e-03
A. Pure A_1 iteration (control),16.0,9.945430e-01,5.456955e-03,5.486897e-03
A. Pure A_1 iteration (control),17.0,9.964216e-01,3.578360e-03,3.591211e-03
A. Pure A_1 iteration (control),18.0,9.976550e-01,2.344964e-03,2.350475e-03
A. Pure A_1 iteration (control),19.0,9.984640e-01,1.536042e-03,1.538405e-03
A. Pure A_1 iteration (control),20.0,9.989941e-01,1.005886e-03,1.006899e-03
A. Pure A_1 iteration (control),21.0,9.993414e-01,6.585899e-04,6.590240e-04
A. Pure A_1 iteration (control),22.0,9.995688e-01,4.311508e-04,4.313368e-04
A. Pure A_1 iteration (control),23.0,9.997178e-01,2.822339e-04,2.823136e-04
A. Pure A_1 iteration (control),24.0,9.998153e-01,1.847425e-04,1.847766e-04
A. Pure A_1 iteration (control),25.0,9.998791e-01,1.209232e-04,1.209379e-04
A. Pure A_1 iteration (control),26.0,9.999209e-01,7.914860e-05,7.915486e-05
A. Pure A_1 iteration (control),27.0,9.999482e-01,5.180485e-05,5.180753e-05
A. Pure A_1 iteration (control),28.0,9.999661e-01,3.390732e-05,3.390847e-05
A. Pure A_1 iteration (control),29.0,9.999778e-01,2.219289e-05,2.219338e-05
A. Pure A_1 iteration (control),30.0,9.999855e-01,1.452555e-05,1.452576e-05
A. Pure A_1 iteration (control),31.0,9.999905e-01,9.507141e-06,9.507231e-06
A. Pure A_1 iteration (control),32.0,9.999938e-01,6.222525e-06,6.222564e-06
A. Pure A_1 iteration (control),33.0,9.999959e-01,4.072704e-06,4.072721e-06
A. Pure A_1 iteration (control),34.0,9.999973e-01,2.665623e-06,2.665630e-06
A. Pure A_1 iteration (control),35.0,9.999983e-01,1.744675e-06,1.744678e-06
A. Pure A_1 iteration (control),36.0,9.999989e-01,1.141905e-06,1.141906e-06
A. Pure A_1 iteration (control),37.0,9.999993e-01,7.473869e-07,7.473874e-07
A. Pure A_1 iteration (control),38.0,9.999995e-01,4.891712e-07,4.891714e-07
A. Pure A_1 iteration (control),39.0,9.999997e-01,3.201668e-07,3.201669e-07
A. Pure A_1 iteration (control),40.0,9.999998e-01,2.095519e-07,2.095519e-07
A. Pure A_1 iteration (control),41.0,9.999999e-01,1.371535e-07,1.371535e-07
A. Pure A_1 iteration (control),42.0,9.999999e-01,8.976813e-08,8.976814e-08
A. Pure A_1 iteration (control),43.0,9.999999e-01,5.875401e-08,5.875401e-08
A. Pure A_1 iteration (control),44.0,1.000000e+00,3.845500e-08,3.845500e-08
A. Pure A_1 iteration (control),45.0,1.000000e+00,2.516912e-08,2.516912e-08
A. Pure A_1 iteration (control),46.0,1.000000e+00,1.647341e-08,1.647341e-08
A. Pure A_1 iteration (control),47.0,1.000000e+00,1.078198e-08,1.078198e-08
A. Pure A_1 iteration (control),48.0,1.000000e+00,7.056900e-09,7.056900e-09
A. Pure A_1 iteration (control),49.0,1.000000e+00,4.618801e-09,4.618801e-09
A. Pure A_1 iteration (control),50.0,1.000000e+00,3.023044e-09,3.023044e-09
A. Pure A_1 iteration (control),51.0,1.000000e+00,1.978608e-09,1.978608e-09
A. Pure A_1 iteration (control),52.0,1.000000e+00,1.295016e-09,1.295016e-09
A. Pure A_1 iteration (control),53.0,1.000000e+00,8.475988e-10,8.475988e-10
A. Pure A_1 iteration (control),54.0,1.000000e+00,5.547606e-10,5.547606e-10
A. Pure A_1 iteration (control),55.0,1.000000e+00,3.630955e-10,3.630955e-10
A. Pure A_1 iteration (control),56.0,1.000000e+00,2.376490e-10,2.376490e-10
A. Pure A_1 iteration (control),57.0,1.000000e+00,1.555432e-10,1.555432e-10
A. Pure A_1 iteration (control),58.0,1.000000e+00,1.018043e-10,1.018043e-10
A. Pure A_1 iteration (control),59.0,1.000000e+00,6.663176e-11,6.663176e-11
A. Pure A_1 iteration (control),60.0,1.000000e+00,4.361099e-11,4.361099e-11
A. Pure A_1 iteration (control),61.0,1.000000e+00,2.854372e-11,2.854372e-11
A. Pure A_1 iteration (control),62.0,1.000000e+00,1.868204e-11,1.868204e-11
A. Pure A_1 iteration (control),63.0,1.000000e+00,1.222752e-11,1.222752e-11
A. Pure A_1 iteration (control),64.0,1.000000e+00,8.002956e-12,8.002956e-12
A. Pure A_1 iteration (control),65.0,1.000000e+00,5.237950e-12,5.237950e-12
A. Pure A_1 iteration (control),66.0,1.000000e+00,3.428231e-12,3.428231e-12
A. Pure A_1 iteration (control),67.0,1.000000e+00,2.243761e-12,2.243761e-12
A. Pure A_1 iteration (control),68.0,1.000000e+00,1.468517e-12,1.468517e-12
A. Pure A_1 iteration (control),69.0,1.000000e+00,9.610981e-13,9.610981e-13
A. Pure A_1 iteration (control),70.0,1.000000e+00,6.289987e-13,6.289987e-13
A. Pure A_1 iteration (control),71.0,1.000000e+00,4.116257e-13,4.116257e-13
A. Pure A_1 iteration (control),72.0,1.000000e+00,2.693708e-13,2.693708e-13
A. Pure A_1 iteration (control),73.0,1.000000e+00,1.762760e-13,1.762760e-13
A. Pure A_1 iteration (control),74.0,1.000000e+00,1.153446e-13,1.153446e-13
A. Pure A_1 iteration (control),75.0,1.000000e+00,7.541253e-14,7.541253e-14
A. Pure A_1 iteration (control),76.0,1.000000e+00,4.929964e-14,4.929964e-14
A. Pure A_1 iteration (control),77.0,1.000000e+00,3.221242e-14,3.221242e-14
A. Pure A_1 iteration (control),78.0,1.000000e+00,2.102983e-14,2.102983e-14
A. Pure A_1 iteration (control),79.0,1.000000e+00,1.372497e-14,1.372497e-14
A. Pure A_1 iteration (control),80.0,1.000000e+00,8.952426e-15,8.952426e-15
A. Pure A_1 iteration (control),81.0,1.000000e+00,5.793403e-15,5.793403e-15
A. Pure A_1 iteration (control),82.0,1.000000e+00,3.756314e-15,3.756314e-15
A. Pure A_1 iteration (control),83.0,1.000000e+00,2.384198e-15,2.384198e-15
A. Pure A_1 iteration (control),84.0,1.000000e+00,1.538889e-15,1.538889e-15
A. Pure A_1 iteration (control),85.0,1.000000e+00,9.244911e-16,9.244911e-16
A. Pure A_1 iteration (control),86.0,1.000000e+00,5.609238e-16,5.609238e-16
A. Pure A_1 iteration (control),87.0,1.000000e+00,3.180573e-16,3.180573e-16
A. Pure A_1 iteration (control),88.0,1.000000e+00,1.450759e-16,1.450759e-16
A. Pure A_1 iteration (control),89.0,1.000000e+00,4.549377e-17,4.549377e-17
A. Pure A_1 iteration (control),90.0,1.000000e+00,-9.607493e-18,-9.607493e-18
A. Pure A_1 iteration (control),91.0,1.000000e+00,-8.762454e-17,-8.762454e-17
A. Pure A_1 iteration (control),92.0,1.000000e+00,-7.415918e-17,-7.415918e-17
A. Pure A_1 iteration (control),93.0,1.000000e+00,-1.048604e-16,-1.048604e-16
A. Pure A_1 iteration (control),94.0,1.000000e+00,-1.196026e-16,-1.196026e-16
A. Pure A_1 iteration (control),95.0,1.000000e+00,-1.492824e-16,-1.492824e-16
A. Pure A_1 iteration (control),96.0,1.000000e+00,-1.414137e-16,-1.414137e-16
A. Pure A_1 iteration (control),97.0,1.000000e+00,-1.537587e-16,-1.537587e-16
A. Pure A_1 iteration (control),98.0,1.000000e+00,-1.453180e-16,-1.453180e-16
A. Pure A_1 iteration (control),99.0,1.000000e+00,-1.497710e-16,-1.497710e-16
A. Pure A_1 iteration (control),100.0,1.000000e+00,-1.441962e-16,-1.441962e-16
A. Pure A_1 iteration (control),101.0,1.000000e+00,-1.579134e-16,-1.579134e-16
A. Pure A_1 iteration (control),102.0,1.000000e+00,-1.490765e-16,-1.490765e-16
A. Pure A_1 iteration (control),103.0,1.000000e+00,-1.480101e-16,-1.480101e-16
A. Pure A_1 iteration (control),104.0,1.000000e+00,-1.550816e-16,-1.550816e-16
A. Pure A_1 iteration (control),105.0,1.000000e+00,-1.380195e-16,-1.380195e-16
A. Pure A_1 iteration (control),106.0,1.000000e+00,-1.403149e-16,-1.403149e-16
A. Pure A_1 iteration (control),107.0,1.000000e+00,-1.298354e-16,-1.298354e-16
A. Pure A_1 iteration (control),108.0,1.000000e+00,-1.655787e-16,-1.655787e-16
A. Pure A_1 iteration (control),109.0,1.000000e+00,-1.373338e-16,-1.373338e-16
A. Pure A_1 iteration (control),110.0,1.000000e+00,-1.344978e-16,-1.344978e-16
A. Pure A_1 iteration (control),111.0,1.000000e+00,-1.421875e-16,-1.421875e-16
A. Pure A_1 iteration (control),112.0,1.000000e+00,-1.463110e-16,-1.463110e-16
A. Pure A_1 iteration (control),113.0,1.000000e+00,-1.472652e-16,-1.472652e-16
A. Pure A_1 iteration (control),114.0,1.000000e+00,-1.449716e-16,-1.449716e-16
A. Pure A_1 iteration (control),115.0,1.000000e+00,-1.373722e-16,-1.373722e-16
A. Pure A_1 iteration (control),116.0,1.000000e+00,-1.516255e-16,-1.516255e-16
A. Pure A_1 iteration (control),117.0,1.000000e+00,-1.304855e-16,-1.304855e-16
A. Pure A_1 iteration (control),118.0,1.000000e+00,-1.430754e-16,-1.430754e-16
A. Pure A_1 iteration (control),119.0,1.000000e+00,-1.357121e-16,-1.357121e-16
A. Pure A_1 iteration (control),120.0,1.000000e+00,-1.396712e-16,-1.396712e-16
A. Pure A_1 iteration (control),121.0,1.000000e+00,-1.356333e-16,-1.356333e-16
A. Pure A_1 iteration (control),122.0,1.000000e+00,-1.599413e-16,-1.599413e-16
A. Pure A_1 iteration (control),123.0,1.000000e+00,-1.598622e-16,-1.598622e-16
A. Pure A_1 iteration (control),124.0,1.000000e+00,-1.362669e-16,-1.362669e-16
A. Pure A_1 iteration (control),125.0,1.000000e+00,-1.448974e-16,-1.448974e-16
A. Pure A_1 iteration (control),126.0,1.000000e+00,-1.636628e-16,-1.636628e-16
A. Pure A_1 iteration (control),127.0,1.000000e+00,-1.525778e-16,-1.525778e-16
A. Pure A_1 iteration (control),128.0,1.000000e+00,-1.319121e-16,-1.319121e-16
A. Pure A_1 iteration (control),129.0,1.000000e+00,-1.578828e-16,-1.578828e-16
A. Pure A_1 iteration (control),130.0,1.000000e+00,-1.251027e-16,-1.251027e-16
A. Pure A_1 iteration (control),131.0,1.000000e+00,-1.482230e-16,-1.482230e-16
A. Pure A_1 iteration (control),132.0,1.000000e+00,-1.513109e-16,-1.513109e-16
A. Pure A_1 iteration (control),133.0,1.000000e+00,-1.445807e-16,-1.445807e-16
A. Pure A_1 iteration (control),134.0,1.000000e+00,-1.688887e-16,-1.688887e-16
A. Pure A_1 iteration (control),135.0,1.000000e+00,-1.289033e-16,-1.289033e-16
A. Pure A_1 iteration (control),136.0,1.000000e+00,-1.565367e-16,-1.565367e-16
A. Pure A_1 iteration (control),137.0,1.000000e+00,-1.436306e-16,-1.436306e-16
A. Pure A_1 iteration (control),138.0,1.000000e+00,-1.465602e-16,-1.465602e-16
A. Pure A_1 iteration (control),139.0,1.000000e+00,-1.734019e-16,-1.734019e-16
A. Pure A_1 iteration (control),140.0,1.000000e+00,-1.603373e-16,-1.603373e-16
A. Pure A_1 iteration (control),141.0,1.000000e+00,-1.459268e-16,-1.459268e-16
A. Pure A_1 iteration (control),142.0,1.000000e+00,-1.422054e-16,-1.422054e-16
A. Pure A_1 iteration (control),143.0,1.000000e+00,-1.547156e-16,-1.547156e-16
A. Pure A_1 iteration (control),144.0,1.000000e+00,-1.430763e-16,-1.430763e-16
