step,P_tau_fixed,P_tau_paired,P_plus_phi,P_minus_phi
0,8.087862e-01,1.912138e-01,8.807093e-02,1.031429e-01
1,4.164836e-05,9.999584e-01,9.999563e-01,2.065277e-06
2,2.240710e-10,1.000000e+00,1.000000e+00,2.477581e-12
3,1.615254e-15,1.000000e+00,1.000000e+00,1.993505e-17
4,1.807314e-18,1.000000e+00,1.000000e+00,1.426600e-17
5,4.805589e-18,1.000000e+00,1.000000e+00,1.690895e-17
6,1.700002e-17,1.000000e+00,1.000000e+00,-5.922222e-18
7,-2.092547e-17,1.000000e+00,1.000000e+00,1.706472e-17
8,-5.014671e-17,1.000000e+00,1.000000e+00,5.133622e-18
9,-1.616240e-17,1.000000e+00,1.000000e+00,1.039245e-17
10,-3.294736e-17,1.000000e+00,1.000000e+00,4.493712e-18
11,-1.820769e-17,1.000000e+00,1.000000e+00,6.567139e-18
12,-1.490629e-18,1.000000e+00,1.000000e+00,5.277172e-18
13,-1.815505e-17,1.000000e+00,1.000000e+00,6.229492e-18
14,-4.535830e-18,1.000000e+00,1.000000e+00,2.598734e-18
15,-1.859302e-17,1.000000e+00,1.000000e+00,3.162314e-18
16,1.267534e-17,1.000000e+00,1.000000e+00,7.053895e-18
17,-1.191709e-17,1.000000e+00,1.000000e+00,1.549907e-17
18,-7.220055e-18,1.000000e+00,1.000000e+00,-1.020100e-17
19,-3.523361e-18,1.000000e+00,1.000000e+00,4.200754e-18
20,-1.924941e-17,1.000000e+00,1.000000e+00,1.094557e-17
21,3.606763e-17,1.000000e+00,1.000000e+00,9.140556e-18
22,-2.457415e-17,1.000000e+00,1.000000e+00,5.286758e-18
23,1.618114e-17,1.000000e+00,1.000000e+00,1.037245e-17
24,-2.215418e-17,1.000000e+00,1.000000e+00,-8.897578e-18
25,-9.190385e-18,1.000000e+00,1.000000e+00,4.369588e-18
26,-1.033079e-17,1.000000e+00,1.000000e+00,1.444378e-17
27,-1.619566e-17,1.000000e+00,1.000000e+00,5.132529e-18
28,-2.715513e-17,1.000000e+00,1.000000e+00,1.095655e-18
29,1.925331e-17,1.000000e+00,1.000000e+00,-4.842706e-18
30,-9.462187e-18,1.000000e+00,1.000000e+00,-7.517905e-20
31,-3.187955e-18,1.000000e+00,1.000000e+00,4.868264e-18
32,-2.497255e-17,1.000000e+00,1.000000e+00,1.008132e-17
33,2.771119e-18,1.000000e+00,1.000000e+00,1.365097e-17
34,1.159345e-17,1.000000e+00,1.000000e+00,6.609510e-18
35,-1.688951e-17,1.000000e+00,1.000000e+00,4.359971e-18
36,-1.434617e-17,1.000000e+00,1.000000e+00,1.171273e-18
37,-1.825143e-17,1.000000e+00,1.000000e+00,-5.263847e-18
38,-2.707700e-17,1.000000e+00,1.000000e+00,-3.425408e-20
39,1.857958e-17,1.000000e+00,1.000000e+00,3.079574e-18
40,-1.659925e-17,1.000000e+00,1.000000e+00,1.198760e-18
41,-2.800418e-17,1.000000e+00,1.000000e+00,6.332645e-18
42,-3.028380e-17,1.000000e+00,1.000000e+00,7.716554e-18
43,1.872782e-17,1.000000e+00,1.000000e+00,2.511718e-18
44,-2.981508e-17,1.000000e+00,1.000000e+00,-7.166714e-18
45,1.087275e-17,1.000000e+00,1.000000e+00,9.437838e-18
46,4.487856e-17,1.000000e+00,1.000000e+00,-2.047095e-18
47,2.155159e-18,1.000000e+00,1.000000e+00,-2.324877e-18
48,-1.767700e-17,1.000000e+00,1.000000e+00,1.819022e-18
49,1.926084e-17,1.000000e+00,1.000000e+00,5.733514e-18
50,-3.500839e-18,1.000000e+00,1.000000e+00,3.616522e-18
