index,type,q0,q1,q2,q3
0,axis,1.0000000000,0.0000000000,0.0000000000,0.0000000000
1,axis,-1.0000000000,0.0000000000,0.0000000000,0.0000000000
2,axis,0.0000000000,1.0000000000,0.0000000000,0.0000000000
3,axis,0.0000000000,-1.0000000000,0.0000000000,0.0000000000
4,axis,0.0000000000,0.0000000000,1.0000000000,0.0000000000
5,axis,0.0000000000,0.0000000000,-1.0000000000,0.0000000000
6,axis,0.0000000000,0.0000000000,0.0000000000,1.0000000000
7,axis,0.0000000000,0.0000000000,0.0000000000,-1.0000000000
8,half,0.5000000000,0.5000000000,0.5000000000,0.5000000000
9,half,0.5000000000,0.5000000000,0.5000000000,-0.5000000000
10,half,0.5000000000,0.5000000000,-0.5000000000,0.5000000000
11,half,0.5000000000,0.5000000000,-0.5000000000,-0.5000000000
12,half,0.5000000000,-0.5000000000,0.5000000000,0.5000000000
13,half,0.5000000000,-0.5000000000,0.5000000000,-0.5000000000
14,half,0.5000000000,-0.5000000000,-0.5000000000,0.5000000000
15,half,0.5000000000,-0.5000000000,-0.5000000000,-0.5000000000
16,half,-0.5000000000,0.5000000000,0.5000000000,0.5000000000
17,half,-0.5000000000,0.5000000000,0.5000000000,-0.5000000000
18,half,-0.5000000000,0.5000000000,-0.5000000000,0.5000000000
19,half,-0.5000000000,0.5000000000,-0.5000000000,-0.5000000000
20,half,-0.5000000000,-0.5000000000,0.5000000000,0.5000000000
21,half,-0.5000000000,-0.5000000000,0.5000000000,-0.5000000000
22,half,-0.5000000000,-0.5000000000,-0.5000000000,0.5000000000
23,half,-0.5000000000,-0.5000000000,-0.5000000000,-0.5000000000
24,mixed,0.0000000000,0.5000000000,0.3090169944,0.8090169944
25,mixed,0.0000000000,0.5000000000,0.3090169944,-0.8090169944
26,mixed,0.0000000000,0.5000000000,-0.3090169944,0.8090169944
27,mixed,0.0000000000,0.5000000000,-0.3090169944,-0.8090169944
28,mixed,0.0000000000,-0.5000000000,0.3090169944,0.8090169944
29,mixed,0.0000000000,-0.5000000000,0.3090169944,-0.8090169944
30,mixed,0.0000000000,-0.5000000000,-0.3090169944,0.8090169944
31,mixed,0.0000000000,-0.5000000000,-0.3090169944,-0.8090169944
32,mixed,0.0000000000,0.3090169944,0.8090169944,0.5000000000
33,mixed,0.0000000000,0.3090169944,0.8090169944,-0.5000000000
34,mixed,0.0000000000,0.3090169944,-0.8090169944,0.5000000000
35,mixed,0.0000000000,0.3090169944,-0.8090169944,-0.5000000000
36,mixed,0.0000000000,-0.3090169944,0.8090169944,0.5000000000
37,mixed,0.0000000000,-0.3090169944,0.8090169944,-0.5000000000
38,mixed,0.0000000000,-0.3090169944,-0.8090169944,0.5000000000
39,mixed,0.0000000000,-0.3090169944,-0.8090169944,-0.5000000000
40,mixed,0.0000000000,0.8090169944,0.5000000000,0.3090169944
41,mixed,0.0000000000,0.8090169944,0.5000000000,-0.3090169944
42,mixed,0.0000000000,0.8090169944,-0.5000000000,0.3090169944
43,mixed,0.0000000000,0.8090169944,-0.5000000000,-0.3090169944
44,mixed,0.0000000000,-0.8090169944,0.5000000000,0.3090169944
45,mixed,0.0000000000,-0.8090169944,0.5000000000,-0.3090169944
46,mixed,0.0000000000,-0.8090169944,-0.5000000000,0.3090169944
47,mixed,0.0000000000,-0.8090169944,-0.5000000000,-0.3090169944
48,mixed,0.5000000000,0.0000000000,0.8090169944,0.3090169944
49,mixed,0.5000000000,0.0000000000,0.8090169944,-0.3090169944
50,mixed,0.5000000000,0.0000000000,-0.8090169944,0.3090169944
51,mixed,0.5000000000,0.0000000000,-0.8090169944,-0.3090169944
52,mixed,-0.5000000000,0.0000000000,0.8090169944,0.3090169944
