gamma,L_sub_val,zeta_val,chi5_val,attribution
6.64876714,2.167011e-04,1.026217e+00,2.343678e-05,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
9.83185747,8.002488e-03,1.542184e+00,3.721369e-04,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
11.95925522,6.106665e-03,1.274047e+00,9.922181e-05,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
14.13472514,1.394521e-08,3.085785e-11,4.222400e+00,"ZETA (sigma-fixed, Riemann zero)"
16.03333919,5.173055e-02,1.561334e+00,7.316004e-04,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
19.54106885,8.163083e-02,1.589106e+00,1.256788e-03,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
21.02203964,6.498078e-08,1.630922e-10,2.893343e+00,"ZETA (sigma-fixed, Riemann zero)"
24.58837905,1.468902e-01,5.406360e-01,1.881186e-03,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
25.01085758,8.126793e-07,6.613192e-09,1.255775e+00,"ZETA (sigma-fixed, Riemann zero)"
28.46176262,4.068615e-01,2.560911e+00,1.781096e-03,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
32.93506158,6.410267e-07,6.442622e-09,2.656176e-01,"ZETA (sigma-fixed, Riemann zero)"
33.00071530,7.846959e-02,9.228700e-02,2.346974e-03,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
38.12842849,3.096500e-01,9.575146e-01,1.855387e-03,"CHI_5 (sigma-paired, Dirichlet L_5 zero)"
