space,A1_eigenvalue,multiplicity,irrep_dim,galois_class
icosahedron,5.000000,1,?,"5 (rational, sigma-fixed)"
icosahedron,2.236068,3,?,-1 + 2*phi (Galois-paired)
icosahedron,-1.000000,5,?,"-1 (rational, sigma-fixed)"
icosahedron,-2.236068,3,?,1 + -2*phi (Galois-paired)
dodecahedron,3.000000,1,?,"3 (rational, sigma-fixed)"
dodecahedron,2.236068,3,?,-1 + 2*phi (Galois-paired)
dodecahedron,1.000000,5,?,"1 (rational, sigma-fixed)"
dodecahedron,-0.000000,4,?,"0 (rational, sigma-fixed)"
dodecahedron,-2.000000,4,?,"-2 (rational, sigma-fixed)"
dodecahedron,-2.236068,3,?,1 + -2*phi (Galois-paired)
V_600,12.000000,1,1,"12 (rational, sigma-fixed)"
V_600,9.708204,4,2 or 2',9.7082 (unrecognised)
V_600,6.472136,9,3 or 3',0 + 4*phi (Galois-paired)
V_600,3.000000,16,4 or 4',"3 (rational, sigma-fixed)"
V_600,-0.000000,25,5,"0 (rational, sigma-fixed)"
V_600,-2.000000,36,6,"-2 (rational, sigma-fixed)"
V_600,-2.472136,9,3 or 3',4 + -4*phi (Galois-paired)
V_600,-3.000000,16,4 or 4',"-3 (rational, sigma-fixed)"
V_600,-3.708204,4,2 or 2',-3.7082 (unrecognised)
