name,expr,family,grade,grade_reason
God,2^136279840+1,B1_god_portal,B,cyclotomic address object (a^n+/-1 or Phi_d)
Portal,2^136279856+1,B1_god_portal,B,cyclotomic address object (a^n+/-1 or Phi_d)
"M52 (Mersenne, prime)",2^136279841-1,B1_god_portal,B,cyclotomic address object (a^n+/-1 or Phi_d)
Phi_5(2),Phi_5(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_10(2),Phi_10(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_15(2),Phi_15(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_20(2),Phi_20(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_25(2),Phi_25(2),B2_golden_atoms,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_30(2),Phi_30(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_40(2),Phi_40(2),B2_golden_atoms,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_50(2),Phi_50(2),B2_golden_atoms,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_60(2),Phi_60(2),B2_golden_atoms,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_3(2),Phi_3(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_7(2),Phi_7(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_8(2),Phi_8(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_9(2),Phi_9(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_11(2),Phi_11(2),B3_nongolden_controls,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
Phi_13(2),Phi_13(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_16(2),Phi_16(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_32(2),Phi_32(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
Phi_64(2),Phi_64(2),B3_nongolden_controls,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 11,11,B4_icosian_levels,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
prime 31,31,B4_icosian_levels,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
prime 41,41,B4_icosian_levels,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
prime 151,151,B4_icosian_levels,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
prime 331,331,B4_icosian_levels,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
level-31 Hilbert newform,f_31 over Q(sqrt5),B4_icosian_levels,E,global L-function (Euler product) -- verified in paper
prime 89,89,B5_random_split,D,level/conductor or Hecke-input prime in the icosian/Hilbert construction
prime 109,109,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 131,131,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 139,139,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 149,149,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 179,179,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 191,191,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
prime 199,199,B5_random_split,C,prime factor(s) routed into Q(sqrt5) by splitting type
Hecke-order-sector boundary,,B5_random_split,D,order-sector vs Hecke a_q: decoupled (boundary to E)
