norm_NP,kind,p,phi_mod_p,a_P,ramanujan_ratio,status
4,inert,2,,-3,0.7500,good
5,ramified,5,3,-2,0.4472,good
9,inert,3,,2,0.3333,good
11,split,11,4,-4,0.6030,good
11,split,11,8,4,0.6030,good
19,split,19,5,4,0.4588,good
19,split,19,15,-4,0.4588,good
29,split,29,6,-2,0.1857,good
29,split,29,24,-2,0.1857,good
31,split,31,13,8,0.7184,good
31,split,31,19,,,bad
41,split,41,7,-6,0.4685,good
41,split,41,35,-6,0.4685,good
49,inert,7,,2,0.1429,good
59,split,59,26,-4,0.2604,good
59,split,59,34,12,0.7811,good
61,split,61,18,-2,0.1280,good
61,split,61,44,6,0.3841,good
71,split,71,9,-8,0.4747,good
71,split,71,63,0,0.0000,good
79,split,79,30,16,0.9001,good
79,split,79,50,0,0.0000,good
89,split,89,10,10,0.5300,good
89,split,89,80,-6,0.3180,good
101,split,101,23,-10,0.4975,good
101,split,101,79,6,0.2985,good
109,split,109,11,-10,0.4789,good
109,split,109,99,6,0.2873,good
131,split,131,12,4,0.1747,good
131,split,131,120,-20,0.8737,good
139,split,139,64,-20,0.8482,good
139,split,139,76,4,0.1696,good
149,split,149,41,-10,0.4096,good
149,split,149,109,6,0.2458,good
151,split,151,28,16,0.6510,good
151,split,151,124,8,0.3255,good
169,inert,13,,-6,0.2308,good
179,split,179,75,-12,0.4485,good
179,split,179,105,4,0.1495,good
181,split,181,14,22,0.8176,good
181,split,181,168,-10,0.3716,good
191,split,191,89,16,0.5789,good
191,split,191,103,0,0.0000,good
199,split,199,62,24,0.8507,good
199,split,199,138,16,0.5671,good
