Re,Im,abs_L_sub
0.0500,-50.0000,5.438517e+05
0.0725,-50.0000,4.117873e+05
0.0950,-50.0000,3.117980e+05
0.1175,-50.0000,2.360932e+05
0.1400,-50.0000,1.787769e+05
0.1625,-50.0000,1.353863e+05
0.1850,-50.0000,1.025424e+05
0.2075,-50.0000,7.768644e+04
0.2300,-50.0000,5.888035e+04
0.2525,-50.0000,4.465614e+04
0.2750,-50.0000,3.390159e+04
0.2975,-50.0000,2.577396e+04
0.3200,-50.0000,1.963464e+04
0.3425,-50.0000,1.499958e+04
0.3650,-50.0000,1.150185e+04
0.3875,-50.0000,8.863219e+03
0.4100,-50.0000,6.872678e+03
0.4325,-50.0000,5.370150e+03
0.4550,-50.0000,4.234216e+03
0.4775,-50.0000,3.372862e+03
0.5000,-50.0000,2.716508e+03
0.5225,-50.0000,2.212753e+03
0.5450,-50.0000,1.822381e+03
0.5675,-50.0000,1.516281e+03
0.5900,-50.0000,1.273030e+03
0.6125,-50.0000,1.076993e+03
0.6350,-50.0000,9.168215e+02
0.6575,-50.0000,7.842880e+02
0.6800,-50.0000,6.734091e+02
0.7025,-50.0000,5.797933e+02
0.7250,-50.0000,5.001730e+02
0.7475,-50.0000,4.320735e+02
0.7700,-50.0000,3.735821e+02
0.7925,-50.0000,3.231897e+02
0.8150,-50.0000,2.796818e+02
0.8375,-50.0000,2.420632e+02
0.8600,-50.0000,2.095062e+02
0.8825,-50.0000,1.813137e+02
0.9050,-50.0000,1.568933e+02
0.9275,-50.0000,1.357381e+02
0.9500,-50.0000,1.174117e+02
0.0500,-48.7500,2.429199e+05
0.0725,-48.7500,1.846397e+05
0.0950,-48.7500,1.404971e+05
0.1175,-48.7500,1.070411e+05
0.1400,-48.7500,8.166601e+04
0.1625,-48.7500,6.240430e+04
0.1850,-48.7500,4.776968e+04
0.2075,-48.7500,3.663911e+04
0.2300,-48.7500,2.816379e+04
0.2525,-48.7500,2.170189e+04
0.2750,-48.7500,1.676790e+04
0.2975,-48.7500,1.299438e+04
0.3200,-48.7500,1.010310e+04
0.3425,-48.7500,7.883233e+03
0.3650,-48.7500,6.174958e+03
0.3875,-48.7500,4.857003e+03
0.4100,-48.7500,3.837290e+03
0.4325,-48.7500,3.045840e+03
0.4550,-48.7500,2.429425e+03
0.4775,-48.7500,1.947511e+03
0.5000,-48.7500,1.569200e+03
0.5225,-48.7500,1.270910e+03
0.5450,-48.7500,1.034612e+03
0.5675,-48.7500,8.465048e+02
0.5900,-48.7500,6.960001e+02
0.6125,-48.7500,5.749577e+02
0.6350,-48.7500,4.771027e+02
0.6575,-48.7500,3.975838e+02
0.6800,-48.7500,3.326374e+02
0.7025,-48.7500,2.793323e+02
0.7250,-48.7500,2.353759e+02
0.7475,-48.7500,1.989669e+02
0.7700,-48.7500,1.686830e+02
0.7925,-48.7500,1.433952e+02
0.8150,-48.7500,1.222029e+02
0.8375,-48.7500,1.043835e+02
0.8600,-48.7500,8.935433e+01
0.8825,-48.7500,7.664297e+01
0.9050,-48.7500,6.586451e+01
0.9275,-48.7500,5.670377e+01
0.9500,-48.7500,4.890146e+01
0.0500,-47.5000,1.441140e+05
0.0725,-47.5000,1.092641e+05
0.0950,-47.5000,8.294375e+04
0.1175,-47.5000,6.304912e+04
0.1400,-47.5000,4.799791e+04
0.1625,-47.5000,3.659960e+04
0.1850,-47.5000,2.795810e+04
0.2075,-47.5000,2.139866e+04
0.2300,-47.5000,1.641297e+04
0.2525,-47.5000,1.261788e+04
0.2750,-47.5000,9.724415e+03
0.2975,-47.5000,7.514484e+03
0.3200,-47.5000,5.823379e+03
0.3425,-47.5000,4.526599e+03
0.3650,-47.5000,3.529954e+03
0.3875,-47.5000,2.762115e+03
0.4100,-47.5000,2.169006e+03
0.4325,-47.5000,1.709584e+03
0.4550,-47.5000,1.352656e+03
0.4775,-47.5000,1.074481e+03
0.5000,-47.5000,8.569646e+02
0.5225,-47.5000,6.862885e+02
0.5450,-47.5000,5.518831e+02
0.5675,-47.5000,4.456465e+02
